#  Energy (eV) |  DOS (states/eV)
  -26.66345171    0.0000000000
  -26.64524100    0.0000000000
  -26.62703029    0.0000000000
  -26.60881958    0.0000000000
  -26.59060887    0.0000000000
  -26.57239817    0.0000000000
  -26.55418746    0.0000000000
  -26.53597675    0.0000000000
  -26.51776604    0.0000000000
  -26.49955533    0.0000000000
  -26.48134462    0.0000000000
  -26.46313391    0.0000000000
  -26.44492321    0.0000000000
  -26.42671250    0.0000000000
  -26.40850179    0.0000000000
  -26.39029108    0.0000000000
  -26.37208037    0.0000000000
  -26.35386966    0.0000000000
  -26.33565895    0.0000000000
  -26.31744825    0.0000000000
  -26.29923754    0.0000000000
  -26.28102683    0.0000000000
  -26.26281612    0.0000000000
  -26.24460541    0.0000000000
  -26.22639470    0.0000000000
  -26.20818399    0.0000000000
  -26.18997329    0.0000000000
  -26.17176258    0.0000000000
  -26.15355187    0.0000000000
  -26.13534116    0.0000000000
  -26.11713045    0.0000000000
  -26.09891974    0.0000000000
  -26.08070904    0.0000000000
  -26.06249833    0.0000000000
  -26.04428762    0.0000000000
  -26.02607691    0.0000000000
  -26.00786620    0.0000000000
  -25.98965549    0.0000000000
  -25.97144478    0.0000000000
  -25.95323408    0.0000000000
  -25.93502337    0.0000000000
  -25.91681266    0.0000000000
  -25.89860195    0.0000000000
  -25.88039124    0.0000000000
  -25.86218053    0.0000000000
  -25.84396982    0.0000000000
  -25.82575912    0.0000000000
  -25.80754841    0.0000000000
  -25.78933770    0.0000000000
  -25.77112699    0.0000000000
  -25.75291628    0.0000000000
  -25.73470557    0.0000000000
  -25.71649486    0.0000000000
  -25.69828416    0.0000000000
  -25.68007345    0.0000000000
  -25.66186274    0.0000000000
  -25.64365203    0.0000000000
  -25.62544132    0.0000000000
  -25.60723061    0.0000000000
  -25.58901990    0.0000000000
  -25.57080920    0.0000000000
  -25.55259849    0.0000000000
  -25.53438778    0.0000000000
  -25.51617707    0.0000000000
  -25.49796636    0.0000000000
  -25.47975565    0.0000000000
  -25.46154494    0.0000000000
  -25.44333424    0.0000000000
  -25.42512353    0.0000000000
  -25.40691282    0.0000000000
  -25.38870211    0.0000000000
  -25.37049140    0.0000000000
  -25.35228069    0.0000000000
  -25.33406998    0.0000000000
  -25.31585928    0.0000000000
  -25.29764857    0.0000000000
  -25.27943786    0.0000000000
  -25.26122715    0.0000000000
  -25.24301644    0.0000000000
  -25.22480573    0.0000000000
  -25.20659502    0.0000000000
  -25.18838432    0.0000000000
  -25.17017361    0.0000000000
  -25.15196290    0.0000000000
  -25.13375219    0.0000000000
  -25.11554148    0.0000000000
  -25.09733077    0.0000000000
  -25.07912006    0.0000000000
  -25.06090936    0.0000000000
  -25.04269865    0.0000000000
  -25.02448794    0.0000000000
  -25.00627723    0.0000000000
  -24.98806652    0.0000000000
  -24.96985581    0.0000000000
  -24.95164510    0.0000000000
  -24.93343440    0.0000000000
  -24.91522369    0.0000000000
  -24.89701298    0.0000000000
  -24.87880227    0.0000000000
  -24.86059156    0.0000000000
  -24.84238085    0.0000000000
  -24.82417014    0.0000000000
  -24.80595944    0.0000000000
  -24.78774873    0.0000000000
  -24.76953802    0.0000000000
  -24.75132731    0.0000000000
  -24.73311660    0.0000000000
  -24.71490589    0.0000000000
  -24.69669518    0.0000000000
  -24.67848448    0.0000000000
  -24.66027377    0.0000000000
  -24.64206306    0.0000000000
  -24.62385235    0.0000000000
  -24.60564164    0.0000000000
  -24.58743093    0.0000000000
  -24.56922022    0.0000000000
  -24.55100952    0.0000000000
  -24.53279881    0.0000000000
  -24.51458810    0.0000000000
  -24.49637739    0.0000000000
  -24.47816668    0.0000000000
  -24.45995597    0.0000000000
  -24.44174526    0.0000000000
  -24.42353456    0.0000000000
  -24.40532385    0.0000000000
  -24.38711314    0.0000000000
  -24.36890243    0.0000000000
  -24.35069172    0.0000000000
  -24.33248101    0.0000000000
  -24.31427030    0.0000000000
  -24.29605960    0.0000000000
  -24.27784889    0.0000000000
  -24.25963818    0.0000000001
  -24.24142747    0.0000000004
  -24.22321676    0.0000000017
  -24.20500605    0.0000000070
  -24.18679534    0.0000000267
  -24.16858464    0.0000000979
  -24.15037393    0.0000003424
  -24.13216322    0.0000011439
  -24.11395251    0.0000036501
  -24.09574180    0.0000111237
  -24.07753109    0.0000323770
