#  Energy (eV) |  DOS (states/eV)
  -26.51380895    0.0000000000
  -26.49567547    0.0000000000
  -26.47754200    0.0000000000
  -26.45940852    0.0000000000
  -26.44127504    0.0000000000
  -26.42314157    0.0000000000
  -26.40500809    0.0000000000
  -26.38687462    0.0000000000
  -26.36874114    0.0000000000
  -26.35060766    0.0000000000
  -26.33247419    0.0000000000
  -26.31434071    0.0000000000
  -26.29620724    0.0000000000
  -26.27807376    0.0000000000
  -26.25994029    0.0000000000
  -26.24180681    0.0000000000
  -26.22367333    0.0000000000
  -26.20553986    0.0000000000
  -26.18740638    0.0000000000
  -26.16927291    0.0000000000
  -26.15113943    0.0000000000
  -26.13300596    0.0000000000
  -26.11487248    0.0000000000
  -26.09673900    0.0000000000
  -26.07860553    0.0000000000
  -26.06047205    0.0000000000
  -26.04233858    0.0000000000
  -26.02420510    0.0000000000
  -26.00607162    0.0000000000
  -25.98793815    0.0000000000
  -25.96980467    0.0000000000
  -25.95167120    0.0000000000
  -25.93353772    0.0000000000
  -25.91540425    0.0000000000
  -25.89727077    0.0000000000
  -25.87913729    0.0000000000
  -25.86100382    0.0000000000
  -25.84287034    0.0000000000
  -25.82473687    0.0000000000
  -25.80660339    0.0000000000
  -25.78846992    0.0000000000
  -25.77033644    0.0000000000
  -25.75220296    0.0000000000
  -25.73406949    0.0000000000
  -25.71593601    0.0000000000
  -25.69780254    0.0000000000
  -25.67966906    0.0000000000
  -25.66153558    0.0000000000
  -25.64340211    0.0000000000
  -25.62526863    0.0000000000
  -25.60713516    0.0000000000
  -25.58900168    0.0000000000
  -25.57086821    0.0000000000
  -25.55273473    0.0000000000
  -25.53460125    0.0000000000
  -25.51646778    0.0000000000
  -25.49833430    0.0000000000
  -25.48020083    0.0000000000
  -25.46206735    0.0000000000
  -25.44393388    0.0000000000
  -25.42580040    0.0000000000
  -25.40766692    0.0000000000
  -25.38953345    0.0000000000
  -25.37139997    0.0000000000
  -25.35326650    0.0000000000
  -25.33513302    0.0000000000
  -25.31699954    0.0000000000
  -25.29886607    0.0000000000
  -25.28073259    0.0000000000
  -25.26259912    0.0000000000
  -25.24446564    0.0000000000
  -25.22633217    0.0000000000
  -25.20819869    0.0000000000
  -25.19006521    0.0000000000
  -25.17193174    0.0000000000
  -25.15379826    0.0000000000
  -25.13566479    0.0000000000
  -25.11753131    0.0000000000
  -25.09939784    0.0000000000
  -25.08126436    0.0000000000
  -25.06313088    0.0000000000
  -25.04499741    0.0000000000
  -25.02686393    0.0000000000
  -25.00873046    0.0000000000
  -24.99059698    0.0000000000
  -24.97246350    0.0000000000
  -24.95433003    0.0000000000
  -24.93619655    0.0000000000
  -24.91806308    0.0000000000
  -24.89992960    0.0000000000
  -24.88179613    0.0000000000
  -24.86366265    0.0000000000
  -24.84552917    0.0000000000
  -24.82739570    0.0000000000
  -24.80926222    0.0000000000
  -24.79112875    0.0000000000
  -24.77299527    0.0000000000
  -24.75486180    0.0000000000
  -24.73672832    0.0000000000
  -24.71859484    0.0000000000
  -24.70046137    0.0000000000
  -24.68232789    0.0000000000
  -24.66419442    0.0000000000
  -24.64606094    0.0000000000
  -24.62792746    0.0000000000
  -24.60979399    0.0000000000
  -24.59166051    0.0000000000
  -24.57352704    0.0000000000
  -24.55539356    0.0000000000
  -24.53726009    0.0000000000
  -24.51912661    0.0000000000
  -24.50099313    0.0000000000
  -24.48285966    0.0000000000
  -24.46472618    0.0000000000
  -24.44659271    0.0000000000
  -24.42845923    0.0000000000
  -24.41032576    0.0000000000
  -24.39219228    0.0000000000
  -24.37405880    0.0000000000
  -24.35592533    0.0000000000
  -24.33779185    0.0000000000
  -24.31965838    0.0000000000
  -24.30152490    0.0000000000
  -24.28339142    0.0000000000
  -24.26525795    0.0000000000
  -24.24712447    0.0000000000
  -24.22899100    0.0000000000
  -24.21085752    0.0000000000
  -24.19272405    0.0000000000
  -24.17459057    0.0000000000
  -24.15645709    0.0000000000
  -24.13832362    0.0000000000
  -24.12019014    0.0000000000
  -24.10205667    0.0000000002
  -24.08392319    0.0000000008
  -24.06578972    0.0000000032
  -24.04765624    0.0000000124
  -24.02952276    0.0000000463
  -24.01138929    0.0000001654
  -23.99325581    0.0000005649
  -23.97512234    0.0000018429
  -23.95698886    0.0000057445
  -23.93885539    0.0000171081
  -23.92072191    0.0000486803
  -23.90258843    0.0001323448
  -23.88445496    0.0003437665
  -23.86632148    0.0008531445
  -23.84818801    0.0020229458
  -23.83005453    0.0045829847
  -23.81192105    0.0099200783
  -23.79378758    0.0205156049
  -23.77565410    0.0405374181
  -23.75752063    0.0765297636
  -23.73938715    0.1380407116
  -23.72125368    0.2378956702
  -23.70312020    0.3917133891
  -23.68498672    0.6162441725
  -23.66685325    0.9262746206
  -23.64871977    1.3302376468
  -23.63058630    1.8252452829
  -23.61245282    2.3928515997
  -23.59431935    2.9971800022
  -23.57618587    3.5868434131
  -23.55805239    4.1012339074
  -23.53991892    4.4804247890
  -23.52178544    4.6765585270
  -23.50365197    4.6637588566
  -23.48551849    4.4437368209
  -23.46738501    4.0454152168
  -23.44925154    3.5186851470
  -23.43111806    2.9241540087
  -23.41298459    2.3217882395
  -23.39485111    1.7613574565
  -23.37671764    1.2766590490
  -23.35858416    0.8841071114
  -23.34045068    0.5849750864
  -23.32231721    0.3698046664
  -23.30418373    0.2233623315
  -23.28605026    0.1288991376
  -23.26791678    0.0710710317
  -23.24978331    0.0374401653
