#  Energy (eV) |  DOS (states/eV)
  -30.19766240    0.0000000000
  -30.17745682    0.0000000000
  -30.15725124    0.0000000000
  -30.13704565    0.0000000000
  -30.11684007    0.0000000000
  -30.09663449    0.0000000000
  -30.07642890    0.0000000000
  -30.05622332    0.0000000000
  -30.03601774    0.0000000000
  -30.01581215    0.0000000000
  -29.99560657    0.0000000000
  -29.97540099    0.0000000000
  -29.95519541    0.0000000000
  -29.93498982    0.0000000000
  -29.91478424    0.0000000000
  -29.89457866    0.0000000000
  -29.87437307    0.0000000000
  -29.85416749    0.0000000000
  -29.83396191    0.0000000000
  -29.81375632    0.0000000000
  -29.79355074    0.0000000000
  -29.77334516    0.0000000000
  -29.75313957    0.0000000000
  -29.73293399    0.0000000000
  -29.71272841    0.0000000000
  -29.69252282    0.0000000000
  -29.67231724    0.0000000000
  -29.65211166    0.0000000000
  -29.63190607    0.0000000000
  -29.61170049    0.0000000000
  -29.59149491    0.0000000000
  -29.57128933    0.0000000000
  -29.55108374    0.0000000000
  -29.53087816    0.0000000000
  -29.51067258    0.0000000000
  -29.49046699    0.0000000000
  -29.47026141    0.0000000000
  -29.45005583    0.0000000000
  -29.42985024    0.0000000000
  -29.40964466    0.0000000000
  -29.38943908    0.0000000000
  -29.36923349    0.0000000000
  -29.34902791    0.0000000000
  -29.32882233    0.0000000000
  -29.30861674    0.0000000000
  -29.28841116    0.0000000000
  -29.26820558    0.0000000000
  -29.24799999    0.0000000000
  -29.22779441    0.0000000000
  -29.20758883    0.0000000000
  -29.18738325    0.0000000000
  -29.16717766    0.0000000000
  -29.14697208    0.0000000000
  -29.12676650    0.0000000000
  -29.10656091    0.0000000000
  -29.08635533    0.0000000000
  -29.06614975    0.0000000000
  -29.04594416    0.0000000000
  -29.02573858    0.0000000000
  -29.00553300    0.0000000000
  -28.98532741    0.0000000000
  -28.96512183    0.0000000000
  -28.94491625    0.0000000000
  -28.92471066    0.0000000000
  -28.90450508    0.0000000000
  -28.88429950    0.0000000000
  -28.86409391    0.0000000000
  -28.84388833    0.0000000000
  -28.82368275    0.0000000000
  -28.80347717    0.0000000000
  -28.78327158    0.0000000000
  -28.76306600    0.0000000000
  -28.74286042    0.0000000000
  -28.72265483    0.0000000000
  -28.70244925    0.0000000000
  -28.68224367    0.0000000000
  -28.66203808    0.0000000000
  -28.64183250    0.0000000000
  -28.62162692    0.0000000000
  -28.60142133    0.0000000000
  -28.58121575    0.0000000000
  -28.56101017    0.0000000000
  -28.54080458    0.0000000000
  -28.52059900    0.0000000000
  -28.50039342    0.0000000000
  -28.48018783    0.0000000000
  -28.45998225    0.0000000000
  -28.43977667    0.0000000000
  -28.41957108    0.0000000000
  -28.39936550    0.0000000000
  -28.37915992    0.0000000000
  -28.35895434    0.0000000000
  -28.33874875    0.0000000000
  -28.31854317    0.0000000000
  -28.29833759    0.0000000000
  -28.27813200    0.0000000000
  -28.25792642    0.0000000000
  -28.23772084    0.0000000000
  -28.21751525    0.0000000000
  -28.19730967    0.0000000000
  -28.17710409    0.0000000000
  -28.15689850    0.0000000000
  -28.13669292    0.0000000000
  -28.11648734    0.0000000000
  -28.09628175    0.0000000000
  -28.07607617    0.0000000000
  -28.05587059    0.0000000000
  -28.03566500    0.0000000000
  -28.01545942    0.0000000000
  -27.99525384    0.0000000000
  -27.97504826    0.0000000000
  -27.95484267    0.0000000000
  -27.93463709    0.0000000000
  -27.91443151    0.0000000000
  -27.89422592    0.0000000000
  -27.87402034    0.0000000000
  -27.85381476    0.0000000000
  -27.83360917    0.0000000000
  -27.81340359    0.0000000000
  -27.79319801    0.0000000001
  -27.77299242    0.0000000005
  -27.75278684    0.0000000025
  -27.73258126    0.0000000114
  -27.71237567    0.0000000497
  -27.69217009    0.0000002044
  -27.67196451    0.0000007937
  -27.65175892    0.0000029133
  -27.63155334    0.0000101044
  -27.61134776    0.0000331173
  -27.59114218    0.0001025701
  -27.57093659    0.0003001971
  -27.55073101    0.0008302548
  -27.53052543    0.0021698809
  -27.51031984    0.0053589524
  -27.49011426    0.0125067201
  -27.46990868    0.0275820464
  -27.44970309    0.0574816277
  -27.42949751    0.1132012315
  -27.40929193    0.2106651835
  -27.38908634    0.3704707298
  -27.36888076    0.6156509533
  -27.34867518    0.9667957493
  -27.32846959    1.4346779673
  -27.30826401    2.0118409595
  -27.28805843    2.6659523534
  -27.26785284    3.3383405779
  -27.24764726    3.9502849115
  -27.22744168    4.4171863253
  -27.20723610    4.6674807837
  -27.18703051    4.6605683197
  -27.16682493    4.3975900300
  -27.14661935    3.9211198831
  -27.12641376    3.3038857603
  -27.10620818    2.6306280361
  -27.08600260    1.9793080319
  -27.06579701    1.4073005267
  -27.04559143    0.9455398433
  -27.02538585    0.6003331676
  -27.00518026    0.3601839553
  -26.98497468    0.2042094841
  -26.96476910    0.1094074697
  -26.94456351    0.0553907901
  -26.92435793    0.0265001094
  -26.90415235    0.0119805649
  -26.88394676    0.0051183083
  -26.86374118    0.0020663083
  -26.84353560    0.0007882851
  -26.82333002    0.0002841784
  -26.80312443    0.0000968096
  -26.78291885    0.0000311648
  -26.76271327    0.0000094805
  -26.74250768    0.0000027253
  -26.72230210    0.0000007403
  -26.70209652    0.0000001900
  -26.68189093    0.0000000461
  -26.66168535    0.0000000106
  -26.64147977    0.0000000023
  -26.62127418    0.0000000005
  -26.60106860    0.0000000001
  -26.58086302    0.0000000000
  -26.56065743    0.0000000000
  -26.54045185    0.0000000000
  -26.52024627    0.0000000000
  -26.50004068    0.0000000000
  -26.47983510    0.0000000000
  -26.45962952    0.0000000000
  -26.43942394    0.0000000000
  -26.41921835    0.0000000000
  -26.39901277    0.0000000000
  -26.37880719    0.0000000000
  -26.35860160    0.0000000000
  -26.33839602    0.0000000000
  -26.31819044    0.0000000000
  -26.29798485    0.0000000000
  -26.27777927    0.0000000000
  -26.25757369    0.0000000000
  -26.23736810    0.0000000000
  -26.21716252    0.0000000000
  -26.19695694    0.0000000000
  -26.17675135    0.0000000000
  -26.15654577    0.0000000000
  -26.13634019    0.0000000000
  -26.11613460    0.0000000000
  -26.09592902    0.0000000000
  -26.07572344    0.0000000000
  -26.05551785    0.0000000000
  -26.03531227    0.0000000000
  -26.01510669    0.0000000000
  -25.99490111    0.0000000000
  -25.97469552    0.0000000000
  -25.95448994    0.0000000000
  -25.93428436    0.0000000000
  -25.91407877    0.0000000000
  -25.89387319    0.0000000000
  -25.87366761    0.0000000000
  -25.85346202    0.0000000000
  -25.83325644    0.0000000000
  -25.81305086    0.0000000000
  -25.79284527    0.0000000000
  -25.77263969    0.0000000000
  -25.75243411    0.0000000000
  -25.73222852    0.0000000000
  -25.71202294    0.0000000000
  -25.69181736    0.0000000000
  -25.67161177    0.0000000000
  -25.65140619    0.0000000000
  -25.63120061    0.0000000000
  -25.61099503    0.0000000000
  -25.59078944    0.0000000000
  -25.57058386    0.0000000000
  -25.55037828    0.0000000000
  -25.53017269    0.0000000000
  -25.50996711    0.0000000000
  -25.48976153    0.0000000000
  -25.46955594    0.0000000000
  -25.44935036    0.0000000000
  -25.42914478    0.0000000000
  -25.40893919    0.0000000000
  -25.38873361    0.0000000000
  -25.36852803    0.0000000000
  -25.34832244    0.0000000000
  -25.32811686    0.0000000000
  -25.30791128    0.0000000000
  -25.28770569    0.0000000000
  -25.26750011    0.0000000000
  -25.24729453    0.0000000000
  -25.22708895    0.0000000000
  -25.20688336    0.0000000000
  -25.18667778    0.0000000000
  -25.16647220    0.0000000000
  -25.14626661    0.0000000000
  -25.12606103    0.0000000000
  -25.10585545    0.0000000000
  -25.08564986    0.0000000000
  -25.06544428    0.0000000000
  -25.04523870    0.0000000000
  -25.02503311    0.0000000000
  -25.00482753    0.0000000000
  -24.98462195    0.0000000000
  -24.96441636    0.0000000000
  -24.94421078    0.0000000000
  -24.92400520    0.0000000000
  -24.90379961    0.0000000000
  -24.88359403    0.0000000000
  -24.86338845    0.0000000000
  -24.84318287    0.0000000000
  -24.82297728    0.0000000000
  -24.80277170    0.0000000000
  -24.78256612    0.0000000000
  -24.76236053    0.0000000000
  -24.74215495    0.0000000000
  -24.72194937    0.0000000000
  -24.70174378    0.0000000000
  -24.68153820    0.0000000000
  -24.66133262    0.0000000000
  -24.64112703    0.0000000000
  -24.62092145    0.0000000000
  -24.60071587    0.0000000000
  -24.58051028    0.0000000000
  -24.56030470    0.0000000000
  -24.54009912    0.0000000000
  -24.51989353    0.0000000000
  -24.49968795    0.0000000000
  -24.47948237    0.0000000000
  -24.45927679    0.0000000000
  -24.43907120    0.0000000000
  -24.41886562    0.0000000000
  -24.39866004    0.0000000000
  -24.37845445    0.0000000000
  -24.35824887    0.0000000000
  -24.33804329    0.0000000000
  -24.31783770    0.0000000000
  -24.29763212    0.0000000000
  -24.27742654    0.0000000000
  -24.25722095    0.0000000000
  -24.23701537    0.0000000000
  -24.21680979    0.0000000000
  -24.19660420    0.0000000000
  -24.17639862    0.0000000000
  -24.15619304    0.0000000000
  -24.13598745    0.0000000000
  -24.11578187    0.0000000000
  -24.09557629    0.0000000000
  -24.07537070    0.0000000000
  -24.05516512    0.0000000000
  -24.03495954    0.0000000000
  -24.01475396    0.0000000000
  -23.99454837    0.0000000000
  -23.97434279    0.0000000000
  -23.95413721    0.0000000000
  -23.93393162    0.0000000000
  -23.91372604    0.0000000000
  -23.89352046    0.0000000000
  -23.87331487    0.0000000000
  -23.85310929    0.0000000000
  -23.83290371    0.0000000000
  -23.81269812    0.0000000000
  -23.79249254    0.0000000000
  -23.77228696    0.0000000000
  -23.75208137    0.0000000000
  -23.73187579    0.0000000000
  -23.71167021    0.0000000000
  -23.69146462    0.0000000000
  -23.67125904    0.0000000000
  -23.65105346    0.0000000000
  -23.63084788    0.0000000000
  -23.61064229    0.0000000000
  -23.59043671    0.0000000000
  -23.57023113    0.0000000000
  -23.55002554    0.0000000000
  -23.52981996    0.0000000000
  -23.50961438    0.0000000000
  -23.48940879    0.0000000000
  -23.46920321    0.0000000000
  -23.44899763    0.0000000000
  -23.42879204    0.0000000000
  -23.40858646    0.0000000000
  -23.38838088    0.0000000000
  -23.36817529    0.0000000000
  -23.34796971    0.0000000000
  -23.32776413    0.0000000000
  -23.30755854    0.0000000000
  -23.28735296    0.0000000000
  -23.26714738    0.0000000000
  -23.24694180    0.0000000000
  -23.22673621    0.0000000000
  -23.20653063    0.0000000000
  -23.18632505    0.0000000000
  -23.16611946    0.0000000000
  -23.14591388    0.0000000000
  -23.12570830    0.0000000000
  -23.10550271    0.0000000000
  -23.08529713    0.0000000000
  -23.06509155    0.0000000000
  -23.04488596    0.0000000000
  -23.02468038    0.0000000000
  -23.00447480    0.0000000000
  -22.98426921    0.0000000000
  -22.96406363    0.0000000000
  -22.94385805    0.0000000000
  -22.92365246    0.0000000000
  -22.90344688    0.0000000000
  -22.88324130    0.0000000000
  -22.86303572    0.0000000000
  -22.84283013    0.0000000000
  -22.82262455    0.0000000000
  -22.80241897    0.0000000000
  -22.78221338    0.0000000000
  -22.76200780    0.0000000000
  -22.74180222    0.0000000000
  -22.72159663    0.0000000000
  -22.70139105    0.0000000000
  -22.68118547    0.0000000000
  -22.66097988    0.0000000000
  -22.64077430    0.0000000000
  -22.62056872    0.0000000000
  -22.60036313    0.0000000000
  -22.58015755    0.0000000000
  -22.55995197    0.0000000000
  -22.53974638    0.0000000000
  -22.51954080    0.0000000000
  -22.49933522    0.0000000000
  -22.47912964    0.0000000000
  -22.45892405    0.0000000000
  -22.43871847    0.0000000000
  -22.41851289    0.0000000000
  -22.39830730    0.0000000000
  -22.37810172    0.0000000000
  -22.35789614    0.0000000000
  -22.33769055    0.0000000000
  -22.31748497    0.0000000000
  -22.29727939    0.0000000000
  -22.27707380    0.0000000000
  -22.25686822    0.0000000000
  -22.23666264    0.0000000000
  -22.21645705    0.0000000000
  -22.19625147    0.0000000000
  -22.17604589    0.0000000000
  -22.15584030    0.0000000000
  -22.13563472    0.0000000000
  -22.11542914    0.0000000000
  -22.09522356    0.0000000000
  -22.07501797    0.0000000000
  -22.05481239    0.0000000000
  -22.03460681    0.0000000000
  -22.01440122    0.0000000000
  -21.99419564    0.0000000000
  -21.97399006    0.0000000000
  -21.95378447    0.0000000000
  -21.93357889    0.0000000000
  -21.91337331    0.0000000000
  -21.89316772    0.0000000000
  -21.87296214    0.0000000000
  -21.85275656    0.0000000000
  -21.83255097    0.0000000000
  -21.81234539    0.0000000000
  -21.79213981    0.0000000000
  -21.77193422    0.0000000000
  -21.75172864    0.0000000000
  -21.73152306    0.0000000000
  -21.71131747    0.0000000000
  -21.69111189    0.0000000000
  -21.67090631    0.0000000000
  -21.65070073    0.0000000000
  -21.63049514    0.0000000000
  -21.61028956    0.0000000000
  -21.59008398    0.0000000000
  -21.56987839    0.0000000000
  -21.54967281    0.0000000000
  -21.52946723    0.0000000000
  -21.50926164    0.0000000000
  -21.48905606    0.0000000000
  -21.46885048    0.0000000000
  -21.44864489    0.0000000000
  -21.42843931    0.0000000000
  -21.40823373    0.0000000000
  -21.38802814    0.0000000000
  -21.36782256    0.0000000000
  -21.34761698    0.0000000000
  -21.32741139    0.0000000000
  -21.30720581    0.0000000000
  -21.28700023    0.0000000000
  -21.26679465    0.0000000000
  -21.24658906    0.0000000000
  -21.22638348    0.0000000000
  -21.20617790    0.0000000000
  -21.18597231    0.0000000000
  -21.16576673    0.0000000000
  -21.14556115    0.0000000000
  -21.12535556    0.0000000000
  -21.10514998    0.0000000000
  -21.08494440    0.0000000000
  -21.06473881    0.0000000000
  -21.04453323    0.0000000000
  -21.02432765    0.0000000000
  -21.00412206    0.0000000000
  -20.98391648    0.0000000000
  -20.96371090    0.0000000000
  -20.94350531    0.0000000000
  -20.92329973    0.0000000000
  -20.90309415    0.0000000000
  -20.88288857    0.0000000000
  -20.86268298    0.0000000000
  -20.84247740    0.0000000000
  -20.82227182    0.0000000000
  -20.80206623    0.0000000000
  -20.78186065    0.0000000000
  -20.76165507    0.0000000000
  -20.74144948    0.0000000000
  -20.72124390    0.0000000000
  -20.70103832    0.0000000000
  -20.68083273    0.0000000000
  -20.66062715    0.0000000000
  -20.64042157    0.0000000000
  -20.62021598    0.0000000000
  -20.60001040    0.0000000000
  -20.57980482    0.0000000000
  -20.55959923    0.0000000000
  -20.53939365    0.0000000000
  -20.51918807    0.0000000000
  -20.49898249    0.0000000000
  -20.47877690    0.0000000000
  -20.45857132    0.0000000000
  -20.43836574    0.0000000000
  -20.41816015    0.0000000000
  -20.39795457    0.0000000000
  -20.37774899    0.0000000000
  -20.35754340    0.0000000000
  -20.33733782    0.0000000000
  -20.31713224    0.0000000000
  -20.29692665    0.0000000000
  -20.27672107    0.0000000000
  -20.25651549    0.0000000000
  -20.23630990    0.0000000000
  -20.21610432    0.0000000000
  -20.19589874    0.0000000000
  -20.17569315    0.0000000000
  -20.15548757    0.0000000000
  -20.13528199    0.0000000000
  -20.11507641    0.0000000000
  -20.09487082    0.0000000000
  -20.07466524    0.0000000000
  -20.05445966    0.0000000000
  -20.03425407    0.0000000000
  -20.01404849    0.0000000000
  -19.99384291    0.0000000000
  -19.97363732    0.0000000000
  -19.95343174    0.0000000000
  -19.93322616    0.0000000000
  -19.91302057    0.0000000000
  -19.89281499    0.0000000000
  -19.87260941    0.0000000000
  -19.85240382    0.0000000000
  -19.83219824    0.0000000000
  -19.81199266    0.0000000000
  -19.79178707    0.0000000000
  -19.77158149    0.0000000000
  -19.75137591    0.0000000000
  -19.73117033    0.0000000000
  -19.71096474    0.0000000000
  -19.69075916    0.0000000000
  -19.67055358    0.0000000000
  -19.65034799    0.0000000000
  -19.63014241    0.0000000000
  -19.60993683    0.0000000000
  -19.58973124    0.0000000000
  -19.56952566    0.0000000000
  -19.54932008    0.0000000000
  -19.52911449    0.0000000000
  -19.50890891    0.0000000000
  -19.48870333    0.0000000000
  -19.46849774    0.0000000000
  -19.44829216    0.0000000000
  -19.42808658    0.0000000000
  -19.40788099    0.0000000000
  -19.38767541    0.0000000000
  -19.36746983    0.0000000000
  -19.34726424    0.0000000000
  -19.32705866    0.0000000000
  -19.30685308    0.0000000000
  -19.28664750    0.0000000000
  -19.26644191    0.0000000000
  -19.24623633    0.0000000000
  -19.22603075    0.0000000000
  -19.20582516    0.0000000000
  -19.18561958    0.0000000000
  -19.16541400    0.0000000000
  -19.14520841    0.0000000000
  -19.12500283    0.0000000000
  -19.10479725    0.0000000000
  -19.08459166    0.0000000000
  -19.06438608    0.0000000000
  -19.04418050    0.0000000000
  -19.02397491    0.0000000000
  -19.00376933    0.0000000000
  -18.98356375    0.0000000000
  -18.96335816    0.0000000000
  -18.94315258    0.0000000000
  -18.92294700    0.0000000000
  -18.90274142    0.0000000000
  -18.88253583    0.0000000000
  -18.86233025    0.0000000000
  -18.84212467    0.0000000000
  -18.82191908    0.0000000000
  -18.80171350    0.0000000000
  -18.78150792    0.0000000000
  -18.76130233    0.0000000000
  -18.74109675    0.0000000000
  -18.72089117    0.0000000000
  -18.70068558    0.0000000000
  -18.68048000    0.0000000000
  -18.66027442    0.0000000000
  -18.64006883    0.0000000000
  -18.61986325    0.0000000000
  -18.59965767    0.0000000000
  -18.57945208    0.0000000000
  -18.55924650    0.0000000000
  -18.53904092    0.0000000000
  -18.51883534    0.0000000000
  -18.49862975    0.0000000000
  -18.47842417    0.0000000000
  -18.45821859    0.0000000000
  -18.43801300    0.0000000000
  -18.41780742    0.0000000000
  -18.39760184    0.0000000000
  -18.37739625    0.0000000000
  -18.35719067    0.0000000000
  -18.33698509    0.0000000000
  -18.31677950    0.0000000000
  -18.29657392    0.0000000000
  -18.27636834    0.0000000000
  -18.25616275    0.0000000000
  -18.23595717    0.0000000000
  -18.21575159    0.0000000000
  -18.19554600    0.0000000000
  -18.17534042    0.0000000000
  -18.15513484    0.0000000000
  -18.13492926    0.0000000000
  -18.11472367    0.0000000000
  -18.09451809    0.0000000000
  -18.07431251    0.0000000000
  -18.05410692    0.0000000000
  -18.03390134    0.0000000000
  -18.01369576    0.0000000000
  -17.99349017    0.0000000000
  -17.97328459    0.0000000000
  -17.95307901    0.0000000000
  -17.93287342    0.0000000000
  -17.91266784    0.0000000000
  -17.89246226    0.0000000000
  -17.87225667    0.0000000000
  -17.85205109    0.0000000000
  -17.83184551    0.0000000000
  -17.81163992    0.0000000000
  -17.79143434    0.0000000000
  -17.77122876    0.0000000000
  -17.75102318    0.0000000000
  -17.73081759    0.0000000000
  -17.71061201    0.0000000000
  -17.69040643    0.0000000000
  -17.67020084    0.0000000000
  -17.64999526    0.0000000000
  -17.62978968    0.0000000000
  -17.60958409    0.0000000000
  -17.58937851    0.0000000000
  -17.56917293    0.0000000000
  -17.54896734    0.0000000000
  -17.52876176    0.0000000000
  -17.50855618    0.0000000000
  -17.48835059    0.0000000000
  -17.46814501    0.0000000000
  -17.44793943    0.0000000000
  -17.42773384    0.0000000000
  -17.40752826    0.0000000000
  -17.38732268    0.0000000000
  -17.36711709    0.0000000000
  -17.34691151    0.0000000000
  -17.32670593    0.0000000000
  -17.30650035    0.0000000000
  -17.28629476    0.0000000000
  -17.26608918    0.0000000000
  -17.24588360    0.0000000000
  -17.22567801    0.0000000000
  -17.20547243    0.0000000000
  -17.18526685    0.0000000000
  -17.16506126    0.0000000000
  -17.14485568    0.0000000000
  -17.12465010    0.0000000000
  -17.10444451    0.0000000000
  -17.08423893    0.0000000000
  -17.06403335    0.0000000000
  -17.04382776    0.0000000000
  -17.02362218    0.0000000000
  -17.00341660    0.0000000000
  -16.98321101    0.0000000000
  -16.96300543    0.0000000000
  -16.94279985    0.0000000000
  -16.92259427    0.0000000000
  -16.90238868    0.0000000000
  -16.88218310    0.0000000000
  -16.86197752    0.0000000000
  -16.84177193    0.0000000000
  -16.82156635    0.0000000000
  -16.80136077    0.0000000000
  -16.78115518    0.0000000000
  -16.76094960    0.0000000000
  -16.74074402    0.0000000000
  -16.72053843    0.0000000000
  -16.70033285    0.0000000000
  -16.68012727    0.0000000000
  -16.65992168    0.0000000000
  -16.63971610    0.0000000000
  -16.61951052    0.0000000000
  -16.59930493    0.0000000000
  -16.57909935    0.0000000000
  -16.55889377    0.0000000000
  -16.53868819    0.0000000000
  -16.51848260    0.0000000000
  -16.49827702    0.0000000000
  -16.47807144    0.0000000000
  -16.45786585    0.0000000000
  -16.43766027    0.0000000000
  -16.41745469    0.0000000000
  -16.39724910    0.0000000000
  -16.37704352    0.0000000000
  -16.35683794    0.0000000000
  -16.33663235    0.0000000000
  -16.31642677    0.0000000000
  -16.29622119    0.0000000000
  -16.27601560    0.0000000000
  -16.25581002    0.0000000000
  -16.23560444    0.0000000000
  -16.21539885    0.0000000000
  -16.19519327    0.0000000000
  -16.17498769    0.0000000000
  -16.15478211    0.0000000000
  -16.13457652    0.0000000000
  -16.11437094    0.0000000000
  -16.09416536    0.0000000000
  -16.07395977    0.0000000000
  -16.05375419    0.0000000000
  -16.03354861    0.0000000000
  -16.01334302    0.0000000000
  -15.99313744    0.0000000000
  -15.97293186    0.0000000000
  -15.95272627    0.0000000000
  -15.93252069    0.0000000000
  -15.91231511    0.0000000000
  -15.89210952    0.0000000000
  -15.87190394    0.0000000000
  -15.85169836    0.0000000000
  -15.83149277    0.0000000000
  -15.81128719    0.0000000000
  -15.79108161    0.0000000000
  -15.77087603    0.0000000000
  -15.75067044    0.0000000000
  -15.73046486    0.0000000000
  -15.71025928    0.0000000000
  -15.69005369    0.0000000000
  -15.66984811    0.0000000000
  -15.64964253    0.0000000000
  -15.62943694    0.0000000000
  -15.60923136    0.0000000000
  -15.58902578    0.0000000000
  -15.56882019    0.0000000000
  -15.54861461    0.0000000000
  -15.52840903    0.0000000000
  -15.50820344    0.0000000000
  -15.48799786    0.0000000000
  -15.46779228    0.0000000000
  -15.44758669    0.0000000000
  -15.42738111    0.0000000000
  -15.40717553    0.0000000000
  -15.38696995    0.0000000000
  -15.36676436    0.0000000000
  -15.34655878    0.0000000000
  -15.32635320    0.0000000000
  -15.30614761    0.0000000000
  -15.28594203    0.0000000000
  -15.26573645    0.0000000000
  -15.24553086    0.0000000000
  -15.22532528    0.0000000000
  -15.20511970    0.0000000000
  -15.18491411    0.0000000000
  -15.16470853    0.0000000000
  -15.14450295    0.0000000000
  -15.12429736    0.0000000000
  -15.10409178    0.0000000000
  -15.08388620    0.0000000000
  -15.06368061    0.0000000000
  -15.04347503    0.0000000000
  -15.02326945    0.0000000000
  -15.00306386    0.0000000000
  -14.98285828    0.0000000000
  -14.96265270    0.0000000000
  -14.94244712    0.0000000000
  -14.92224153    0.0000000000
  -14.90203595    0.0000000000
  -14.88183037    0.0000000000
  -14.86162478    0.0000000000
  -14.84141920    0.0000000000
  -14.82121362    0.0000000000
  -14.80100803    0.0000000000
  -14.78080245    0.0000000000
  -14.76059687    0.0000000000
  -14.74039128    0.0000000000
  -14.72018570    0.0000000000
  -14.69998012    0.0000000000
  -14.67977453    0.0000000000
  -14.65956895    0.0000000000
  -14.63936337    0.0000000000
  -14.61915778    0.0000000000
  -14.59895220    0.0000000000
  -14.57874662    0.0000000000
  -14.55854104    0.0000000000
  -14.53833545    0.0000000000
  -14.51812987    0.0000000000
  -14.49792429    0.0000000000
  -14.47771870    0.0000000000
  -14.45751312    0.0000000000
  -14.43730754    0.0000000000
  -14.41710195    0.0000000000
  -14.39689637    0.0000000000
  -14.37669079    0.0000000000
  -14.35648520    0.0000000000
  -14.33627962    0.0000000000
  -14.31607404    0.0000000000
  -14.29586845    0.0000000000
  -14.27566287    0.0000000000
  -14.25545729    0.0000000000
  -14.23525170    0.0000000000
  -14.21504612    0.0000000000
  -14.19484054    0.0000000000
  -14.17463496    0.0000000000
  -14.15442937    0.0000000000
  -14.13422379    0.0000000000
  -14.11401821    0.0000000000
  -14.09381262    0.0000000000
  -14.07360704    0.0000000000
  -14.05340146    0.0000000000
  -14.03319587    0.0000000000
  -14.01299029    0.0000000000
  -13.99278471    0.0000000000
  -13.97257912    0.0000000000
  -13.95237354    0.0000000000
  -13.93216796    0.0000000000
  -13.91196237    0.0000000000
  -13.89175679    0.0000000000
  -13.87155121    0.0000000000
  -13.85134562    0.0000000000
  -13.83114004    0.0000000000
  -13.81093446    0.0000000000
  -13.79072888    0.0000000000
  -13.77052329    0.0000000000
  -13.75031771    0.0000000000
  -13.73011213    0.0000000000
  -13.70990654    0.0000000000
  -13.68970096    0.0000000000
  -13.66949538    0.0000000000
  -13.64928979    0.0000000000
  -13.62908421    0.0000000000
  -13.60887863    0.0000000000
  -13.58867304    0.0000000000
  -13.56846746    0.0000000000
  -13.54826188    0.0000000000
  -13.52805629    0.0000000000
  -13.50785071    0.0000000000
  -13.48764513    0.0000000000
  -13.46743954    0.0000000000
  -13.44723396    0.0000000000
  -13.42702838    0.0000000000
  -13.40682280    0.0000000000
  -13.38661721    0.0000000000
  -13.36641163    0.0000000000
  -13.34620605    0.0000000000
  -13.32600046    0.0000000000
  -13.30579488    0.0000000000
  -13.28558930    0.0000000000
  -13.26538371    0.0000000000
  -13.24517813    0.0000000000
  -13.22497255    0.0000000000
  -13.20476696    0.0000000000
  -13.18456138    0.0000000000
  -13.16435580    0.0000000000
  -13.14415021    0.0000000000
  -13.12394463    0.0000000000
  -13.10373905    0.0000000000
  -13.08353346    0.0000000000
  -13.06332788    0.0000000000
  -13.04312230    0.0000000000
  -13.02291671    0.0000000000
  -13.00271113    0.0000000000
  -12.98250555    0.0000000000
  -12.96229997    0.0000000000
  -12.94209438    0.0000000000
  -12.92188880    0.0000000000
  -12.90168322    0.0000000000
  -12.88147763    0.0000000000
  -12.86127205    0.0000000000
  -12.84106647    0.0000000000
  -12.82086088    0.0000000000
  -12.80065530    0.0000000000
  -12.78044972    0.0000000000
  -12.76024413    0.0000000000
