#  Energy (eV) |  DOS (states/eV)
  -26.59087662    0.0000000000
  -26.57043160    0.0000000000
  -26.54998658    0.0000000000
  -26.52954155    0.0000000000
  -26.50909653    0.0000000000
  -26.48865151    0.0000000000
  -26.46820648    0.0000000000
  -26.44776146    0.0000000000
  -26.42731644    0.0000000000
  -26.40687141    0.0000000000
  -26.38642639    0.0000000000
  -26.36598137    0.0000000000
  -26.34553634    0.0000000000
  -26.32509132    0.0000000000
  -26.30464630    0.0000000000
  -26.28420127    0.0000000000
  -26.26375625    0.0000000000
  -26.24331123    0.0000000000
  -26.22286620    0.0000000000
  -26.20242118    0.0000000000
  -26.18197616    0.0000000000
  -26.16153113    0.0000000000
  -26.14108611    0.0000000000
  -26.12064109    0.0000000000
  -26.10019606    0.0000000000
  -26.07975104    0.0000000000
  -26.05930602    0.0000000000
  -26.03886099    0.0000000000
  -26.01841597    0.0000000000
  -25.99797095    0.0000000000
  -25.97752592    0.0000000000
  -25.95708090    0.0000000000
  -25.93663588    0.0000000000
  -25.91619085    0.0000000000
  -25.89574583    0.0000000000
  -25.87530081    0.0000000000
  -25.85485578    0.0000000000
  -25.83441076    0.0000000000
  -25.81396574    0.0000000000
  -25.79352071    0.0000000000
  -25.77307569    0.0000000000
  -25.75263067    0.0000000000
  -25.73218564    0.0000000000
  -25.71174062    0.0000000000
  -25.69129560    0.0000000000
  -25.67085057    0.0000000000
  -25.65040555    0.0000000000
  -25.62996053    0.0000000000
  -25.60951550    0.0000000000
  -25.58907048    0.0000000000
  -25.56862546    0.0000000000
  -25.54818043    0.0000000000
  -25.52773541    0.0000000000
  -25.50729039    0.0000000000
  -25.48684536    0.0000000000
  -25.46640034    0.0000000000
  -25.44595532    0.0000000000
  -25.42551029    0.0000000000
  -25.40506527    0.0000000000
  -25.38462025    0.0000000000
  -25.36417522    0.0000000000
  -25.34373020    0.0000000000
  -25.32328518    0.0000000000
  -25.30284015    0.0000000000
  -25.28239513    0.0000000000
  -25.26195011    0.0000000000
  -25.24150508    0.0000000000
  -25.22106006    0.0000000000
  -25.20061504    0.0000000000
  -25.18017001    0.0000000000
  -25.15972499    0.0000000000
  -25.13927997    0.0000000000
  -25.11883494    0.0000000000
  -25.09838992    0.0000000000
  -25.07794490    0.0000000000
  -25.05749987    0.0000000000
  -25.03705485    0.0000000000
  -25.01660983    0.0000000000
  -24.99616480    0.0000000000
  -24.97571978    0.0000000000
  -24.95527476    0.0000000000
  -24.93482973    0.0000000000
  -24.91438471    0.0000000000
  -24.89393969    0.0000000000
  -24.87349466    0.0000000000
  -24.85304964    0.0000000000
  -24.83260462    0.0000000000
  -24.81215959    0.0000000000
  -24.79171457    0.0000000000
  -24.77126955    0.0000000000
  -24.75082452    0.0000000000
  -24.73037950    0.0000000000
  -24.70993448    0.0000000000
  -24.68948945    0.0000000000
  -24.66904443    0.0000000000
  -24.64859941    0.0000000000
  -24.62815438    0.0000000000
  -24.60770936    0.0000000000
  -24.58726434    0.0000000000
  -24.56681931    0.0000000000
  -24.54637429    0.0000000000
  -24.52592927    0.0000000000
  -24.50548424    0.0000000000
  -24.48503922    0.0000000000
  -24.46459420    0.0000000000
  -24.44414917    0.0000000000
  -24.42370415    0.0000000000
  -24.40325913    0.0000000000
  -24.38281410    0.0000000000
  -24.36236908    0.0000000000
  -24.34192406    0.0000000000
  -24.32147903    0.0000000000
  -24.30103401    0.0000000000
  -24.28058899    0.0000000000
  -24.26014396    0.0000000000
  -24.23969894    0.0000000000
  -24.21925392    0.0000000000
  -24.19880889    0.0000000000
  -24.17836387    0.0000000002
  -24.15791885    0.0000000010
  -24.13747382    0.0000000048
