#  Energy (eV) |  DOS (states/eV)
  -25.94410523    0.0000000000
  -25.92243457    0.0000000000
  -25.90076391    0.0000000000
  -25.87909325    0.0000000000
  -25.85742259    0.0000000000
  -25.83575193    0.0000000000
  -25.81408127    0.0000000000
  -25.79241060    0.0000000000
  -25.77073994    0.0000000000
  -25.74906928    0.0000000000
  -25.72739862    0.0000000000
  -25.70572796    0.0000000000
  -25.68405730    0.0000000000
  -25.66238664    0.0000000000
  -25.64071598    0.0000000000
  -25.61904532    0.0000000000
  -25.59737466    0.0000000000
  -25.57570400    0.0000000000
  -25.55403334    0.0000000000
  -25.53236268    0.0000000000
  -25.51069202    0.0000000000
  -25.48902136    0.0000000000
  -25.46735070    0.0000000000
  -25.44568004    0.0000000000
  -25.42400938    0.0000000000
  -25.40233872    0.0000000000
  -25.38066806    0.0000000000
  -25.35899740    0.0000000000
  -25.33732674    0.0000000000
  -25.31565607    0.0000000000
  -25.29398541    0.0000000000
  -25.27231475    0.0000000000
  -25.25064409    0.0000000000
  -25.22897343    0.0000000000
  -25.20730277    0.0000000000
  -25.18563211    0.0000000000
  -25.16396145    0.0000000000
  -25.14229079    0.0000000000
  -25.12062013    0.0000000000
  -25.09894947    0.0000000000
  -25.07727881    0.0000000000
  -25.05560815    0.0000000000
  -25.03393749    0.0000000000
  -25.01226683    0.0000000000
  -24.99059617    0.0000000000
  -24.96892551    0.0000000000
  -24.94725485    0.0000000000
  -24.92558419    0.0000000000
  -24.90391353    0.0000000000
  -24.88224287    0.0000000000
  -24.86057221    0.0000000000
  -24.83890154    0.0000000000
  -24.81723088    0.0000000000
  -24.79556022    0.0000000000
  -24.77388956    0.0000000000
  -24.75221890    0.0000000000
  -24.73054824    0.0000000000
  -24.70887758    0.0000000000
  -24.68720692    0.0000000000
  -24.66553626    0.0000000000
  -24.64386560    0.0000000000
  -24.62219494    0.0000000000
  -24.60052428    0.0000000000
  -24.57885362    0.0000000000
  -24.55718296    0.0000000000
  -24.53551230    0.0000000000
  -24.51384164    0.0000000000
  -24.49217098    0.0000000000
  -24.47050032    0.0000000000
  -24.44882966    0.0000000000
  -24.42715900    0.0000000000
  -24.40548834    0.0000000000
  -24.38381768    0.0000000000
  -24.36214701    0.0000000000
  -24.34047635    0.0000000000
  -24.31880569    0.0000000000
  -24.29713503    0.0000000000
  -24.27546437    0.0000000000
  -24.25379371    0.0000000000
  -24.23212305    0.0000000000
  -24.21045239    0.0000000000
  -24.18878173    0.0000000000
  -24.16711107    0.0000000000
  -24.14544041    0.0000000000
  -24.12376975    0.0000000000
  -24.10209909    0.0000000000
  -24.08042843    0.0000000000
  -24.05875777    0.0000000000
  -24.03708711    0.0000000000
  -24.01541645    0.0000000000
  -23.99374579    0.0000000000
  -23.97207513    0.0000000000
  -23.95040447    0.0000000000
  -23.92873381    0.0000000000
  -23.90706315    0.0000000000
  -23.88539248    0.0000000000
  -23.86372182    0.0000000000
  -23.84205116    0.0000000000
  -23.82038050    0.0000000000
  -23.79870984    0.0000000000
  -23.77703918    0.0000000000
  -23.75536852    0.0000000000
  -23.73369786    0.0000000000
  -23.71202720    0.0000000000
  -23.69035654    0.0000000000
  -23.66868588    0.0000000000
  -23.64701522    0.0000000000
  -23.62534456    0.0000000000
  -23.60367390    0.0000000000
  -23.58200324    0.0000000000
  -23.56033258    0.0000000000
  -23.53866192    0.0000000001
  -23.51699126    0.0000000006
  -23.49532060    0.0000000034
  -23.47364994    0.0000000170
  -23.45197928    0.0000000807
  -23.43030862    0.0000003594
  -23.40863795    0.0000014989
  -23.38696729    0.0000058577
  -23.36529663    0.0000214490
  -23.34362597    0.0000735885
  -23.32195531    0.0002365585
  -23.30028465    0.0007125128
  -23.27861399    0.0020108169
  -23.25694333    0.0053171395
  -23.23527267    0.0131737462
  -23.21360201    0.0305820242
  -23.19193135    0.0665194825
  -23.17026069    0.1355680023
  -23.14859003    0.2588756669
  -23.12691937    0.4631812439
  -23.10524871    0.7764909498
  -23.08357805    1.2196845753
  -23.06190739    1.7950822994
  -23.04023673    2.4754086101
  -23.01856607    3.1984173271
  -22.99689541    3.8721222609
  -22.97522475    4.3922666039
  -22.95355409    4.6682491268
  -22.93188342    4.6488448863
  -22.91021276    4.3377227131
  -22.88854210    3.7923133679
  -22.86687144    3.1065070752
  -22.84520078    2.3843289772
  -22.82353012    1.7146903605
  -22.80185946    1.1553962019
  -22.78018880    0.7294606418
  -22.75851814    0.4315175795
  -22.73684748    0.2391777749
  -22.71517682    0.1242135143
  -22.69350616    0.0604425219
  -22.67183550    0.0275576388
  -22.65016484    0.0117724575
  -22.62849418    0.0047121375
  -22.60682352    0.0017672357
  -22.58515286    0.0006210073
  -22.56348220    0.0002044677
  -22.54181154    0.0000630781
  -22.52014088    0.0000182330
  -22.49847022    0.0000049381
  -22.47679956    0.0000012531
  -22.45512889    0.0000002980
  -22.43345823    0.0000000664
  -22.41178757    0.0000000139
  -22.39011691    0.0000000027
  -22.36844625    0.0000000005
  -22.34677559    0.0000000001
  -22.32510493    0.0000000000
  -22.30343427    0.0000000000
  -22.28176361    0.0000000000
  -22.26009295    0.0000000000
  -22.23842229    0.0000000000
  -22.21675163    0.0000000000
  -22.19508097    0.0000000000
  -22.17341031    0.0000000000
  -22.15173965    0.0000000000
  -22.13006899    0.0000000000
  -22.10839833    0.0000000000
  -22.08672767    0.0000000000
  -22.06505701    0.0000000000
  -22.04338635    0.0000000000
  -22.02171569    0.0000000000
  -22.00004503    0.0000000000
  -21.97837436    0.0000000000
  -21.95670370    0.0000000000
  -21.93503304    0.0000000000
  -21.91336238    0.0000000000
  -21.89169172    0.0000000000
  -21.87002106    0.0000000000
  -21.84835040    0.0000000000
  -21.82667974    0.0000000000
  -21.80500908    0.0000000000
  -21.78333842    0.0000000000
  -21.76166776    0.0000000000
  -21.73999710    0.0000000000
  -21.71832644    0.0000000000
  -21.69665578    0.0000000000
  -21.67498512    0.0000000000
  -21.65331446    0.0000000000
  -21.63164380    0.0000000000
  -21.60997314    0.0000000000
  -21.58830248    0.0000000000
  -21.56663182    0.0000000000
  -21.54496116    0.0000000000
  -21.52329050    0.0000000000
  -21.50161983    0.0000000000
  -21.47994917    0.0000000000
  -21.45827851    0.0000000000
  -21.43660785    0.0000000000
  -21.41493719    0.0000000000
  -21.39326653    0.0000000000
  -21.37159587    0.0000000000
  -21.34992521    0.0000000000
  -21.32825455    0.0000000000
  -21.30658389    0.0000000000
  -21.28491323    0.0000000000
  -21.26324257    0.0000000000
  -21.24157191    0.0000000000
  -21.21990125    0.0000000000
  -21.19823059    0.0000000000
  -21.17655993    0.0000000000
  -21.15488927    0.0000000000
  -21.13321861    0.0000000000
  -21.11154795    0.0000000000
  -21.08987729    0.0000000000
  -21.06820663    0.0000000000
  -21.04653597    0.0000000000
  -21.02486530    0.0000000000
  -21.00319464    0.0000000000
  -20.98152398    0.0000000000
  -20.95985332    0.0000000000
  -20.93818266    0.0000000000
  -20.91651200    0.0000000000
  -20.89484134    0.0000000000
  -20.87317068    0.0000000000
  -20.85150002    0.0000000000
  -20.82982936    0.0000000000
  -20.80815870    0.0000000000
  -20.78648804    0.0000000000
  -20.76481738    0.0000000000
  -20.74314672    0.0000000000
  -20.72147606    0.0000000000
  -20.69980540    0.0000000000
  -20.67813474    0.0000000000
  -20.65646408    0.0000000000
  -20.63479342    0.0000000000
  -20.61312276    0.0000000000
  -20.59145210    0.0000000000
  -20.56978144    0.0000000000
  -20.54811077    0.0000000000
  -20.52644011    0.0000000000
  -20.50476945    0.0000000000
  -20.48309879    0.0000000000
  -20.46142813    0.0000000000
  -20.43975747    0.0000000000
  -20.41808681    0.0000000000
  -20.39641615    0.0000000000
  -20.37474549    0.0000000000
  -20.35307483    0.0000000000
  -20.33140417    0.0000000000
  -20.30973351    0.0000000000
  -20.28806285    0.0000000000
  -20.26639219    0.0000000000
  -20.24472153    0.0000000000
  -20.22305087    0.0000000000
  -20.20138021    0.0000000000
  -20.17970955    0.0000000000
  -20.15803889    0.0000000000
  -20.13636823    0.0000000000
  -20.11469757    0.0000000000
  -20.09302691    0.0000000000
  -20.07135624    0.0000000000
  -20.04968558    0.0000000000
  -20.02801492    0.0000000000
  -20.00634426    0.0000000000
  -19.98467360    0.0000000000
